locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNBKHAJB_02147	CDS	2748				hypothetical protein
CNBKHAJB_02148	CDS	273				hypothetical protein
CNBKHAJB_02149	CDS	1476				hypothetical protein
CNBKHAJB_02150	CDS	867				hypothetical protein
CNBKHAJB_02151	CDS	1479		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
CNBKHAJB_02152	CDS	2280		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
CNBKHAJB_02153	CDS	1131				hypothetical protein
CNBKHAJB_02154	CDS	1677		3.1.6.-	COG3119	Ulvan-active sulfatase
CNBKHAJB_02155	CDS	1614		3.1.6.-	COG3119	N-acetylglucosamine-6-O-sulfatase
CNBKHAJB_02156	CDS	3045				hypothetical protein
CNBKHAJB_02157	CDS	1374	rsgI6	3.2.1.8	COG3693	Anti-sigma-I factor RsgI6
CNBKHAJB_02158	CDS	1014	rbsR_2		COG1609	Ribose operon repressor
CNBKHAJB_02159	CDS	1044				hypothetical protein
CNBKHAJB_02160	CDS	633				hypothetical protein
CNBKHAJB_02161	CDS	1608				hypothetical protein
CNBKHAJB_02162	CDS	1509		3.1.6.-	COG3119	Ulvan-active sulfatase
CNBKHAJB_02163	CDS	1020	ccpA_2			Catabolite control protein A
CNBKHAJB_02164	CDS	1161				hypothetical protein
CNBKHAJB_02165	CDS	2232				hypothetical protein
CNBKHAJB_02166	CDS	2613				hypothetical protein
CNBKHAJB_02167	CDS	1536		3.1.6.-	COG3119	Ulvan-active sulfatase
CNBKHAJB_02168	CDS	3009				hypothetical protein
CNBKHAJB_02169	CDS	2790				hypothetical protein
CNBKHAJB_02170	CDS	3183	acrD_1		COG0841	putative aminoglycoside efflux pump
CNBKHAJB_02171	CDS	1332	mdtA_6			Multidrug resistance protein MdtA
CNBKHAJB_02172	CDS	1440	oprM			Outer membrane protein OprM
CNBKHAJB_02173	CDS	711	ompR_2		COG0745	DNA-binding dual transcriptional regulator OmpR
CNBKHAJB_02174	CDS	1410	sasA_7	2.7.13.3		Adaptive-response sensory-kinase SasA
CNBKHAJB_02175	CDS	1311	fucP_2		COG0738	L-fucose-proton symporter
CNBKHAJB_02176	CDS	987	glk_4	2.7.1.2	COG0837	Glucokinase
CNBKHAJB_02177	CDS	1416				hypothetical protein
CNBKHAJB_02178	CDS	1164				hypothetical protein
CNBKHAJB_02179	CDS	99				hypothetical protein
CNBKHAJB_02180	CDS	1248				hypothetical protein
CNBKHAJB_02181	CDS	1212				hypothetical protein
CNBKHAJB_02182	CDS	807				hypothetical protein
CNBKHAJB_02183	CDS	795				hypothetical protein
CNBKHAJB_02184	CDS	831				hypothetical protein
CNBKHAJB_02185	CDS	567				hypothetical protein
CNBKHAJB_02186	CDS	216				hypothetical protein
CNBKHAJB_02187	CDS	189				hypothetical protein
CNBKHAJB_02188	CDS	351				hypothetical protein
CNBKHAJB_02189	CDS	1074				hypothetical protein
CNBKHAJB_02190	CDS	372				IS3 family transposase ISCps2
CNBKHAJB_02191	CDS	330				IS3 family transposase ISCps2
CNBKHAJB_02192	CDS	297				hypothetical protein
CNBKHAJB_02193	CDS	234				hypothetical protein
CNBKHAJB_02194	CDS	708	esiB		COG0790	Secretory immunoglobulin A-binding protein EsiB
CNBKHAJB_02195	CDS	231				hypothetical protein
CNBKHAJB_02196	CDS	960				hypothetical protein
CNBKHAJB_02197	CDS	804				hypothetical protein
CNBKHAJB_02198	CDS	2247				hypothetical protein
CNBKHAJB_02199	CDS	1869	rep_2	5.6.2.4		ATP-dependent DNA helicase Rep
CNBKHAJB_02200	CDS	807				hypothetical protein
CNBKHAJB_02201	CDS	447				hypothetical protein
CNBKHAJB_02202	CDS	651				hypothetical protein
CNBKHAJB_02203	CDS	627				hypothetical protein
CNBKHAJB_02204	CDS	468	tapT_2	2.5.1.25	COG3148	tRNA-uridine aminocarboxypropyltransferase
CNBKHAJB_02205	CDS	1656				hypothetical protein
CNBKHAJB_02206	CDS	1311				hypothetical protein
CNBKHAJB_02207	CDS	1665	hlyB_1			Alpha-hemolysin translocation ATP-binding protein HlyB
CNBKHAJB_02208	CDS	2058	ltxB	7.4.2.5	COG2274	Leukotoxin export ATP-binding protein LtxB
CNBKHAJB_02209	CDS	1326	hlyD			Hemolysin secretion protein D, plasmid
CNBKHAJB_02210	CDS	11277				hypothetical protein
CNBKHAJB_02211	CDS	558				hypothetical protein
CNBKHAJB_02212	CDS	447				hypothetical protein
CNBKHAJB_02213	CDS	1974				hypothetical protein
CNBKHAJB_02214	CDS	312				hypothetical protein
CNBKHAJB_02215	CDS	630	gstB_1	2.5.1.18		Glutathione S-transferase GST-6.0
CNBKHAJB_02216	CDS	441				hypothetical protein
CNBKHAJB_02217	CDS	306				hypothetical protein
CNBKHAJB_02218	CDS	309				hypothetical protein
CNBKHAJB_02219	CDS	918	rarD_2		COG2962	Protein RarD
CNBKHAJB_02220	CDS	1446	katA	1.11.1.6	COG0753	Catalase
CNBKHAJB_02221	CDS	492				hypothetical protein
CNBKHAJB_02222	CDS	315				hypothetical protein
CNBKHAJB_02223	CDS	264				hypothetical protein
CNBKHAJB_02224	CDS	1206				hypothetical protein
CNBKHAJB_02225	CDS	744	yfcA_2		COG0730	putative membrane transporter protein YfcA
CNBKHAJB_02226	CDS	615	slmA_2		COG1309	Nucleoid occlusion factor SlmA
CNBKHAJB_02227	CDS	2025	fadH_2	1.3.1.34	COG0446	2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]
CNBKHAJB_02228	CDS	150				hypothetical protein
CNBKHAJB_02229	CDS	915			COG0701	Putative two-component membrane permease complex subunit SMU_747c
CNBKHAJB_02230	CDS	291				hypothetical protein
CNBKHAJB_02231	CDS	3099	rep_3	5.6.2.4		ATP-dependent DNA helicase Rep
CNBKHAJB_02232	CDS	1368	hflX_2		COG2262	GTPase HflX
CNBKHAJB_02233	CDS	549				hypothetical protein
CNBKHAJB_02234	CDS	396				hypothetical protein
CNBKHAJB_02235	CDS	450				hypothetical protein
CNBKHAJB_02236	CDS	1026				hypothetical protein
CNBKHAJB_02237	CDS	774	yfcA_3		COG0730	putative membrane transporter protein YfcA
CNBKHAJB_02238	CDS	282				hypothetical protein
CNBKHAJB_02239	CDS	207				hypothetical protein
CNBKHAJB_02240	CDS	492	ydaF	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
CNBKHAJB_02241	CDS	366				hypothetical protein
CNBKHAJB_02242	CDS	180				hypothetical protein
CNBKHAJB_02243	CDS	651	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
CNBKHAJB_02244	CDS	546	folE_1	3.5.4.16	COG0302	GTP cyclohydrolase 1
CNBKHAJB_02245	CDS	738				hypothetical protein
CNBKHAJB_02246	CDS	480	sdaA_1	4.3.1.17	COG1760	L-serine dehydratase 1
CNBKHAJB_02247	CDS	1077				hypothetical protein
CNBKHAJB_02248	CDS	729	ompR_3		COG0745	DNA-binding dual transcriptional regulator OmpR
CNBKHAJB_02249	CDS	798				hypothetical protein
CNBKHAJB_02250	CDS	2355	rcsC_10	2.7.13.3		Sensor histidine kinase RcsC
CNBKHAJB_02251	CDS	1509	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
CNBKHAJB_02252	CDS	1254	glyA_2	2.1.2.1	COG0112	Serine hydroxymethyltransferase
CNBKHAJB_02253	CDS	1251	soxB_1	1.5.3.24		Sarcosine oxidase subunit beta
CNBKHAJB_02254	CDS	300	soxD_1	1.5.3.24		Sarcosine oxidase subunit delta
CNBKHAJB_02255	CDS	3024	soxA_1	1.5.3.24		Sarcosine oxidase subunit alpha
CNBKHAJB_02256	CDS	597	soxG_1	1.5.3.24		Sarcosine oxidase subunit gamma
CNBKHAJB_02257	CDS	879	purU_1	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
CNBKHAJB_02258	CDS	597				hypothetical protein
CNBKHAJB_02259	CDS	1716				hypothetical protein
CNBKHAJB_02260	CDS	384				hypothetical protein
CNBKHAJB_02261	CDS	348				hypothetical protein
CNBKHAJB_02262	CDS	483				hypothetical protein
CNBKHAJB_02263	CDS	288				hypothetical protein
CNBKHAJB_02264	CDS	426				hypothetical protein
CNBKHAJB_02265	CDS	399				hypothetical protein
CNBKHAJB_02266	CDS	474				hypothetical protein
CNBKHAJB_02267	CDS	561				hypothetical protein
CNBKHAJB_02268	CDS	387				hypothetical protein
CNBKHAJB_02269	CDS	615	yfcG_2	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
CNBKHAJB_02270	CDS	339				hypothetical protein
CNBKHAJB_02271	CDS	615				hypothetical protein
CNBKHAJB_02272	CDS	306				hypothetical protein
CNBKHAJB_02273	CDS	753				hypothetical protein
CNBKHAJB_02274	CDS	399				hypothetical protein
CNBKHAJB_02275	CDS	291				hypothetical protein
CNBKHAJB_02276	CDS	234				hypothetical protein
CNBKHAJB_02277	CDS	390				hypothetical protein
CNBKHAJB_02278	CDS	414		2.3.1.-	COG0454	Acetyltransferase
CNBKHAJB_02279	CDS	474				hypothetical protein
CNBKHAJB_02280	CDS	261				hypothetical protein
CNBKHAJB_02281	CDS	237				hypothetical protein
CNBKHAJB_02282	CDS	615				hypothetical protein
CNBKHAJB_02283	CDS	498	resA_5		COG0526	Thiol-disulfide oxidoreductase ResA
CNBKHAJB_02284	CDS	546				hypothetical protein
CNBKHAJB_02285	CDS	459				hypothetical protein
CNBKHAJB_02286	CDS	249				hypothetical protein
CNBKHAJB_02287	CDS	306				hypothetical protein
CNBKHAJB_02288	CDS	1026				hypothetical protein
CNBKHAJB_02289	CDS	180				hypothetical protein
CNBKHAJB_02290	CDS	417				hypothetical protein
CNBKHAJB_02291	CDS	339				hypothetical protein
CNBKHAJB_02292	CDS	285				hypothetical protein
CNBKHAJB_02293	CDS	600				hypothetical protein
CNBKHAJB_02294	CDS	912	crgA_6			HTH-type transcriptional regulator CrgA
CNBKHAJB_02295	CDS	1350				Nucleobase transporter PlUacP
CNBKHAJB_02296	CDS	1308	sasA_8	2.7.13.3		Adaptive-response sensory-kinase SasA
CNBKHAJB_02297	CDS	723	arlR_2		COG0745	Response regulator ArlR
CNBKHAJB_02298	CDS	357				hypothetical protein
CNBKHAJB_02299	CDS	2484				hypothetical protein
CNBKHAJB_02300	CDS	792	uup_1	3.6.1.-		ATP-binding protein Uup
CNBKHAJB_02301	CDS	846	menB_2	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
CNBKHAJB_02302	CDS	405				hypothetical protein
CNBKHAJB_02303	CDS	390	fabG_4	1.1.1.100	COG1028	3-oxoacyl-[acyl-carrier-protein] reductase FabG
CNBKHAJB_02304	CDS	441				hypothetical protein
CNBKHAJB_02305	CDS	906	dmlR_4		COG0583	HTH-type transcriptional regulator DmlR
CNBKHAJB_02306	CDS	3933	tamB		COG2911	Translocation and assembly module subunit TamB
CNBKHAJB_02307	CDS	1749	tamA		COG0729	Translocation and assembly module subunit TamA
CNBKHAJB_02308	CDS	1290				hypothetical protein
CNBKHAJB_02309	CDS	318	yqjZ		COG2329	putative protein YqjZ
CNBKHAJB_02310	CDS	558	yjdF		COG3647	Inner membrane protein YjdF
CNBKHAJB_02311	CDS	360				hypothetical protein
CNBKHAJB_02312	CDS	714				hypothetical protein
CNBKHAJB_02313	CDS	498				hypothetical protein
CNBKHAJB_02314	CDS	270				hypothetical protein
CNBKHAJB_02315	CDS	198				hypothetical protein
CNBKHAJB_02316	CDS	318				hypothetical protein
CNBKHAJB_02317	CDS	222				hypothetical protein
CNBKHAJB_02318	CDS	513				hypothetical protein
CNBKHAJB_02319	CDS	1272		2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase
CNBKHAJB_02320	CDS	819				hypothetical protein
CNBKHAJB_02321	CDS	381				hypothetical protein
CNBKHAJB_02322	CDS	459				hypothetical protein
CNBKHAJB_02323	CDS	333				hypothetical protein
CNBKHAJB_02324	CDS	291				hypothetical protein
CNBKHAJB_02325	CDS	315				hypothetical protein
CNBKHAJB_02326	CDS	1410				hypothetical protein
CNBKHAJB_02327	CDS	522				hypothetical protein
CNBKHAJB_02328	CDS	267				hypothetical protein
CNBKHAJB_02329	CDS	510	resA_6			Thiol-disulfide oxidoreductase ResA
CNBKHAJB_02330	CDS	1143				hypothetical protein
CNBKHAJB_02331	CDS	1530	acp			Sodium/proton-dependent alanine carrier protein
CNBKHAJB_02332	CDS	1035				hypothetical protein
CNBKHAJB_02333	CDS	714				hypothetical protein
CNBKHAJB_02334	CDS	1170	mdtA_7		COG0845	Multidrug resistance protein MdtA
CNBKHAJB_02335	CDS	3060	mdtB			Multidrug resistance protein MdtB
CNBKHAJB_02336	CDS	330				hypothetical protein
CNBKHAJB_02337	CDS	324				hypothetical protein
CNBKHAJB_02338	CDS	2871				hypothetical protein
CNBKHAJB_02339	CDS	387				hypothetical protein
CNBKHAJB_02340	CDS	522				hypothetical protein
CNBKHAJB_02341	CDS	186				hypothetical protein
CNBKHAJB_02342	CDS	510	bar	2.3.1.183		Phosphinothricin N-acetyltransferase
CNBKHAJB_02343	CDS	3276	tolB_2			Tol-Pal system protein TolB
CNBKHAJB_02344	CDS	219				hypothetical protein
CNBKHAJB_02345	CDS	333				hypothetical protein
CNBKHAJB_02346	CDS	2352	iacT_5		COG4773	Iron and copper transporter IacT
CNBKHAJB_02347	CDS	1035			COG2207	putative HTH-type transcriptional regulator
CNBKHAJB_02348	CDS	264				hypothetical protein
CNBKHAJB_02349	CDS	231				hypothetical protein
CNBKHAJB_02350	CDS	294	zapA_2		COG3027	Cell division protein ZapA
CNBKHAJB_02351	CDS	720	minC			Septum site-determining protein MinC
CNBKHAJB_02352	CDS	810	minD		COG2894	Septum site-determining protein MinD
CNBKHAJB_02353	CDS	279	minE		COG0851	Cell division topological specificity factor
CNBKHAJB_02354	CDS	1014	ansA	3.5.1.1	COG0252	L-asparaginase 1
CNBKHAJB_02355	CDS	1914	sppA	3.4.21.-	COG0616	Protease 4
CNBKHAJB_02356	CDS	699				hypothetical protein
CNBKHAJB_02357	CDS	897				hypothetical protein
CNBKHAJB_02358	CDS	597	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
CNBKHAJB_02359	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
CNBKHAJB_02360	CDS	390				hypothetical protein
CNBKHAJB_02361	CDS	1341	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
CNBKHAJB_02362	CDS	1104	bioB	2.8.1.6	COG0502	Biotin synthase
CNBKHAJB_02363	CDS	1149	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
CNBKHAJB_02364	CDS	798	bioC	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
CNBKHAJB_02365	CDS	792	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
CNBKHAJB_02366	CDS	423				hypothetical protein
CNBKHAJB_02367	CDS	1140	ftsZ_1		COG0206	Cell division protein FtsZ
CNBKHAJB_02368	CDS	735	mucR_1	2.7.7.65		Bifunctional diguanylate cyclase/cyclic di-GMP phosphodiesterase MucR
CNBKHAJB_02369	CDS	561	resA_7			Thiol-disulfide oxidoreductase ResA
CNBKHAJB_02370	CDS	216				hypothetical protein
CNBKHAJB_02371	CDS	795	yidZ_2			HTH-type transcriptional regulator YidZ
CNBKHAJB_02372	CDS	324				hypothetical protein
CNBKHAJB_02373	CDS	3246				hypothetical protein
CNBKHAJB_02374	CDS	201				hypothetical protein
CNBKHAJB_02375	tRNA	77				tRNA-Pro(ggg)
CNBKHAJB_02376	CDS	1761				hypothetical protein
CNBKHAJB_02377	CDS	264				hypothetical protein
CNBKHAJB_02378	CDS	1056	yejK		COG3081	Nucleoid-associated protein YejK
CNBKHAJB_02379	CDS	1068	pyrC	3.5.2.3	COG0418	Dihydroorotase
CNBKHAJB_02380	CDS	891				hypothetical protein
CNBKHAJB_02381	CDS	867				hypothetical protein
CNBKHAJB_02382	CDS	3732				hypothetical protein
CNBKHAJB_02383	CDS	624				hypothetical protein
CNBKHAJB_02384	CDS	1266				hypothetical protein
CNBKHAJB_02385	CDS	567	tehB	2.1.1.265	COG0500	Tellurite methyltransferase
CNBKHAJB_02386	CDS	219				hypothetical protein
CNBKHAJB_02387	CDS	474				hypothetical protein
CNBKHAJB_02388	CDS	438				hypothetical protein
CNBKHAJB_02389	CDS	1356		3.1.-.-	COG1236	Ribonuclease
CNBKHAJB_02390	CDS	747	phaB_1	1.1.1.36	COG1028	Acetoacetyl-CoA reductase
CNBKHAJB_02391	CDS	1209	thlA_2	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
CNBKHAJB_02392	CDS	138				hypothetical protein
CNBKHAJB_02393	CDS	213				hypothetical protein
CNBKHAJB_02394	CDS	1242	xerC_3			Tyrosine recombinase XerC
CNBKHAJB_02395	CDS	600				hypothetical protein
CNBKHAJB_02396	CDS	3933				hypothetical protein
CNBKHAJB_02397	CDS	861	bioP		COG0697	Biotin transporter
CNBKHAJB_02398	CDS	1896				hypothetical protein
CNBKHAJB_02399	CDS	507	msrAB		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB
CNBKHAJB_02400	CDS	654	bceA		COG1136	Bacitracin export ATP-binding protein BceA
CNBKHAJB_02401	CDS	2412			COG0577	putative ABC transporter permease protein
CNBKHAJB_02402	CDS	1158				hypothetical protein
CNBKHAJB_02403	CDS	408	rimI_2	2.3.1.266		[Ribosomal protein bS18]-alanine N-acetyltransferase
CNBKHAJB_02404	CDS	474				hypothetical protein
CNBKHAJB_02405	CDS	1623				hypothetical protein
CNBKHAJB_02406	CDS	1176		5.3.1.7	COG2942	D-mannose isomerase
CNBKHAJB_02407	CDS	1011	scrK	2.7.1.4		Fructokinase
CNBKHAJB_02408	CDS	1287	fucP_3		COG0738	L-fucose-proton symporter
CNBKHAJB_02409	CDS	2541				hypothetical protein
CNBKHAJB_02410	CDS	2424				hypothetical protein
CNBKHAJB_02411	CDS	1008	malI		COG1609	Maltose regulon regulatory protein MalI
CNBKHAJB_02412	CDS	2823	btuB_10			Vitamin B12 transporter BtuB
CNBKHAJB_02413	CDS	2073				hypothetical protein
CNBKHAJB_02414	CDS	903				hypothetical protein
CNBKHAJB_02415	CDS	798				hypothetical protein
CNBKHAJB_02416	CDS	228				hypothetical protein
CNBKHAJB_02417	CDS	1200	rhlE_5	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
CNBKHAJB_02418	CDS	1131				hypothetical protein
CNBKHAJB_02419	CDS	849				hypothetical protein
CNBKHAJB_02420	CDS	1287	ykuI		COG2200	putative EAL-domain containing protein YkuI
CNBKHAJB_02421	CDS	333				hypothetical protein
CNBKHAJB_02422	CDS	1320				hypothetical protein
CNBKHAJB_02423	CDS	363				hypothetical protein
CNBKHAJB_02424	CDS	1164	mdtA_8			Multidrug resistance protein MdtA
CNBKHAJB_02425	CDS	3108	mexB			Multidrug resistance protein MexB
CNBKHAJB_02426	CDS	645				hypothetical protein
CNBKHAJB_02427	CDS	507	recX			Regulatory protein RecX
CNBKHAJB_02428	CDS	291				hypothetical protein
CNBKHAJB_02429	CDS	207		5.3.2.-	COG1942	putative tautomerase
CNBKHAJB_02430	CDS	390				hypothetical protein
CNBKHAJB_02431	CDS	612	gst	2.5.1.18	COG0625	Glutathione S-transferase GST-4.5
CNBKHAJB_02432	CDS	885				HTH-type transcriptional regulator
CNBKHAJB_02433	CDS	393				hypothetical protein
CNBKHAJB_02434	CDS	351	folX	5.1.99.7		Dihydroneopterin triphosphate 2'-epimerase
CNBKHAJB_02435	CDS	777	fabL	1.3.1.104	COG1028	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
CNBKHAJB_02436	CDS	543	folE_2	3.5.4.16	COG0302	GTP cyclohydrolase 1
CNBKHAJB_02437	CDS	372				hypothetical protein
CNBKHAJB_02438	CDS	207				hypothetical protein
CNBKHAJB_02439	CDS	372				hypothetical protein
CNBKHAJB_02440	CDS	1257	umuC_2		COG0389	Protein UmuC
CNBKHAJB_02441	CDS	414	umuD_2	3.4.21.-	COG1974	Protein UmuD
CNBKHAJB_02442	CDS	1365				hypothetical protein
CNBKHAJB_02443	CDS	786				hypothetical protein
CNBKHAJB_02444	CDS	399				hypothetical protein
CNBKHAJB_02445	CDS	819	mtfA	3.4.11.-		Mlc titration factor A
CNBKHAJB_02446	CDS	2139				hypothetical protein
CNBKHAJB_02447	CDS	204				hypothetical protein
CNBKHAJB_02448	CDS	1572	dan	3.5.1.81	COG3653	D-aminoacylase
CNBKHAJB_02449	CDS	1314				hypothetical protein
CNBKHAJB_02450	CDS	3036	btuB_11			Vitamin B12 transporter BtuB
CNBKHAJB_02451	CDS	4746	gdhB	1.4.1.2		NAD-specific glutamate dehydrogenase
CNBKHAJB_02452	CDS	1362	lysA_2	4.1.1.20	COG0019	Diaminopimelate decarboxylase
CNBKHAJB_02453	CDS	1212	gltS		COG0786	Sodium/glutamate symporter
CNBKHAJB_02454	CDS	1602				hypothetical protein
CNBKHAJB_02455	CDS	891	dgcR			HTH-type transcriptional regulator DgcR
CNBKHAJB_02456	CDS	642				hypothetical protein
CNBKHAJB_02457	CDS	465	bdbC			disulfide formation protein
CNBKHAJB_02458	CDS	978				hypothetical protein
CNBKHAJB_02459	CDS	1185				hypothetical protein
CNBKHAJB_02460	CDS	1473				hypothetical protein
CNBKHAJB_02461	tRNA	91				tRNA-Ser(tga)
CNBKHAJB_02462	CDS	579				hypothetical protein
CNBKHAJB_02463	CDS	1515				hypothetical protein
CNBKHAJB_02464	CDS	1827				hypothetical protein
CNBKHAJB_02465	CDS	1212				hypothetical protein
CNBKHAJB_02466	CDS	435				hypothetical protein
CNBKHAJB_02467	CDS	1440	sasA_9	2.7.13.3		Adaptive-response sensory-kinase SasA
CNBKHAJB_02468	CDS	687	pmrA			Response regulator protein PmrA
CNBKHAJB_02469	CDS	366	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
CNBKHAJB_02470	CDS	1983	mdoB	2.7.8.20		Phosphoglycerol transferase I
CNBKHAJB_02471	CDS	1668	eptA	2.7.-.-	COG2194	Phosphoethanolamine transferase EptA
CNBKHAJB_02472	CDS	996				hypothetical protein
CNBKHAJB_02473	CDS	1158	acrC	1.3.1.95		Acryloyl-CoA reductase (NADH)
CNBKHAJB_02474	CDS	768		1.-.-.-	COG1028	putative oxidoreductase
CNBKHAJB_02475	CDS	1170	mcr_2	5.1.99.4	COG1804	Alpha-methylacyl-CoA racemase
CNBKHAJB_02476	CDS	1119				hypothetical protein
CNBKHAJB_02477	CDS	2124	fpvA			Ferripyoverdine receptor
CNBKHAJB_02478	CDS	1056				hypothetical protein
CNBKHAJB_02479	CDS	1026				hypothetical protein
CNBKHAJB_02480	CDS	642				hypothetical protein
CNBKHAJB_02481	CDS	822	nhoA	2.3.1.5	COG2162	Arylamine N-acetyltransferase
CNBKHAJB_02482	CDS	876				hypothetical protein
CNBKHAJB_02483	CDS	579				hypothetical protein
CNBKHAJB_02484	CDS	390				hypothetical protein
CNBKHAJB_02485	CDS	1458				hypothetical protein
CNBKHAJB_02486	CDS	396	fluC1			Fluoride-specific ion channel FluC 1
CNBKHAJB_02487	CDS	435				hypothetical protein
CNBKHAJB_02488	CDS	195				hypothetical protein
CNBKHAJB_02489	CDS	531	coaE_1	2.7.1.24	COG0237	Dephospho-CoA kinase
CNBKHAJB_02490	CDS	603	ompA_2			Outer membrane protein A
CNBKHAJB_02491	CDS	1344				hypothetical protein
CNBKHAJB_02492	CDS	396				hypothetical protein
CNBKHAJB_02493	CDS	954				IS110 family transposase ISCps7
CNBKHAJB_02494	CDS	588				hypothetical protein
CNBKHAJB_02495	CDS	1278	dao_2	1.4.3.3	COG0665	D-amino-acid oxidase
CNBKHAJB_02496	CDS	960		1.5.1.49	COG2423	Delta(1)-pyrroline-2-carboxylate reductase
CNBKHAJB_02497	CDS	828	rhaS_1			HTH-type transcriptional activator RhaS
CNBKHAJB_02498	CDS	639	gstB_2	2.5.1.18		Glutathione S-transferase GST-6.0
CNBKHAJB_02499	CDS	441				hypothetical protein
CNBKHAJB_02500	CDS	723				hypothetical protein
CNBKHAJB_02501	CDS	528	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
CNBKHAJB_02502	CDS	411				hypothetical protein
CNBKHAJB_02503	CDS	1281	serS	6.1.1.11		Serine--tRNA ligase
CNBKHAJB_02504	CDS	402	fluC		COG0239	Fluoride-specific ion channel FluC
CNBKHAJB_02505	CDS	1536	rarA		COG2256	Replication-associated recombination protein A
CNBKHAJB_02506	CDS	735	lolA			Outer-membrane lipoprotein carrier protein
CNBKHAJB_02507	CDS	2640				hypothetical protein
CNBKHAJB_02508	CDS	477	lrp_2		COG1522	Leucine-responsive regulatory protein
CNBKHAJB_02509	CDS	1119	ald_2	1.4.1.1	COG0686	Alanine dehydrogenase
CNBKHAJB_02510	CDS	948	trxB	1.8.1.9	COG0492	Thioredoxin reductase
CNBKHAJB_02511	CDS	726	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
CNBKHAJB_02512	CDS	762	bpt	2.3.2.29		Aspartate/glutamate leucyltransferase
CNBKHAJB_02513	CDS	219	infA		COG0361	Translation initiation factor IF-1
CNBKHAJB_02514	CDS	561				hypothetical protein
CNBKHAJB_02515	CDS	2310	recD	5.6.2.3		RecBCD enzyme subunit RecD
CNBKHAJB_02516	CDS	3861	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
CNBKHAJB_02517	CDS	3597	recC		COG1330	RecBCD enzyme subunit RecC
CNBKHAJB_02518	CDS	1794	dhbF	6.2.1.66	COG1020	Dimodular nonribosomal peptide synthase
CNBKHAJB_02519	CDS	231				hypothetical protein
CNBKHAJB_02520	CDS	882				hypothetical protein
CNBKHAJB_02521	CDS	1755	msbA_2	7.5.2.6	COG1132	ATP-dependent lipid A-core flippase
CNBKHAJB_02522	CDS	360				hypothetical protein
CNBKHAJB_02523	CDS	2238				hypothetical protein
CNBKHAJB_02524	CDS	1023				hypothetical protein
CNBKHAJB_02525	CDS	1053	moxR1_1		COG0714	Chaperone MoxR1
CNBKHAJB_02526	CDS	1059	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
CNBKHAJB_02527	CDS	261				hypothetical protein
CNBKHAJB_02528	CDS	1116				hypothetical protein
CNBKHAJB_02529	CDS	723				hypothetical protein
CNBKHAJB_02530	CDS	933				hypothetical protein
CNBKHAJB_02531	CDS	402				hypothetical protein
CNBKHAJB_02532	CDS	1539	sasA_10	2.7.13.3		Adaptive-response sensory-kinase SasA
CNBKHAJB_02533	CDS	732	qseB		COG0745	Transcriptional regulatory protein QseB
CNBKHAJB_02534	CDS	918	apbE_2	2.7.1.180	COG1477	FAD:protein FMN transferase
CNBKHAJB_02535	CDS	1335				hypothetical protein
CNBKHAJB_02536	CDS	282				hypothetical protein
CNBKHAJB_02537	CDS	555	resA_8			Thiol-disulfide oxidoreductase ResA
CNBKHAJB_02538	CDS	312				hypothetical protein
CNBKHAJB_02539	CDS	1245	nhaD_1			Na(+)/H(+) antiporter NhaD
CNBKHAJB_02540	CDS	696				hypothetical protein
CNBKHAJB_02541	CDS	1665	asnB_1	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
CNBKHAJB_02542	CDS	1674	nfdA_3	3.5.1.91		N-substituted formamide deformylase
CNBKHAJB_02543	CDS	687				hypothetical protein
CNBKHAJB_02544	CDS	1860				hypothetical protein
CNBKHAJB_02545	CDS	480				hypothetical protein
CNBKHAJB_02546	CDS	480				hypothetical protein
